Oats,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,92128.2,108893.91,112308,125546.10998399997,121432.570986,107845.87443600004,90366.06292199998,121497.12816400001,129382.4992841394,135021.87776445775,129106.11230000001,124459.15590452903,108603.585849175,121923.701984842,176540.55675183007,137233.16996600002,131127.000053,140896.200029,161049.6566979335,171171.08000000005,181517.56,210009.04,199584.45,175535.27,166539.43,182045.686,[x],[x],[x]
England,63396.2,80047,85026,97675.99998399997,93108.999986,79960.89743600004,65535.100921999976,93048.828164,102460.9992841394,106575.57776445776,100617.5123,94736.99990452902,80459.999849175,92142.001984842,138398.00675183005,104701.999966,98224.000053,102404.000029,120904.00001999998,132229.00000000003,142850,169362,158983,139924,134063,148477,162476.25275147657,9.42856654665451,7961.324
North East,3980.478733952433,4470.99484631419,4622.947748133862,5496.467202000001,5334.170211000002,4653.385112,3859.618966999999,5518.645093000005,6201.635176460002,6001.770946,6909.5686,6824.5345,5932.029335380931,6728.958153900002,11299.933394834,8778.349556806177,7799.812448137033,8278.817807493839,9845.48153720471,10859.165338999996,11386.662585762868,12611.379770184172,11454.536073860003,9316.497931636886,8514.729181759281,8628.908676796314,9610.64316598887,11.3772729085951,714.607100606127
North West and Merseyside,2562.041316856304,2961.525211071177,3444.6882388656736,3851.8940949999997,4025.2578689999987,3655.6524190000005,3018.1826360000005,4481.329682000002,5130.997228005999,5068.51154051684,4706.5453,3922.2679,3551.4599037743433,4493.525933707,6797.55200727251,4847.631990757285,4609.002786736341,4709.133724715203,5382.403604276673,6098.471077739996,5995.345415341721,6765.982204671579,5907.732625279999,5067.765214867467,4687.6601133141385,4975.179301121416,5347.7698378822,7.48898711402827,926.535831589768
Yorkshire & The Humber,4107.579219921576,4969.616947678348,5184.746740955034,5598.327834999996,5473.8794250000055,4926.944857999998,4062.512210000003,6150.601936999995,6759.232447598001,7558.8821576788505,7775.7723,8288.0719,6784.515589679237,7509.096093279997,11811.5071815564,8535.345946918644,7995.347135844162,8227.982057706347,9489.931297212117,10468.993109000001,11508.813485649387,15299.03809963916,14283.179275989996,10350.848807176577,9835.006424150437,11295.492550663766,12302.6781477082,8.91670365437307,1626.97699937617
East Midlands,6785.002538225043,9256.666749978744,10356.334226222365,11714.780724000007,11211.141572000008,9753.340949999996,7775.704657999998,10677.280200000001,12427.264711219996,13316.658425355079,12934.9006,11299.2949,8933.152793236888,9728.377713909991,14560.2383690825,11848.916809185004,10775.656898920382,11682.986484478006,13708.715276661866,15069.143952980285,17342.809310818753,26532.655567612037,23149.856057240002,21252.340051681767,20523.415164353035,25586.698148838354,29714.6583422295,16.1332273878355,4496.6549016894
West Midlands,12651.255858329569,14817.428455743784,16398.457087753133,18172.356708,17177.566755000003,14553.755507000022,12246.472968999988,16994.013583000007,19119.36175328,20047.74530867123,18103.705,16933.142,14428.631141956343,16298.261101309985,24587.5563054503,18337.209191828068,16893.630732248115,17013.33636095367,19349.63899077729,20586.394275000017,21059.874570310953,25522.248465566016,21926.40584953447,19819.769268188407,18631.965747662856,20049.388778306966,22017.3817118034,9.81572533336159,2285.54626496104
Eastern,4494.289209146836,5772.013436573674,6089.698632094003,6670.428115,7461.012689999994,6908.660930999997,6336.088262,9195.97003399999,10109.372023250002,9662.89535760836,9441.4721,8863.4303,7632.573971507321,9136.337478259995,13255.554821051,9839.666536130728,10731.06386842679,12330.604863431869,18762.451265438296,21681.265116880004,23070.25504034775,25801.53938428275,26123.821885747584,23607.713844771264,24092.381944265966,26181.294347629053,28029.9274390339,7.060892661986539,3507.63167998528
South East and London,14986.138859836768,20171.5378428501,19024.234722668665,24183.634326999938,22138.34254899999,17687.09659300003,13754.533441999993,19399.26854699998,21236.266248480002,22103.4485865545,20168.0118,19134.744400000003,16512.285511524977,19469.764020370007,27957.4083666171,21024.994778160642,19265.584984102643,19226.57333096284,22000.276212215034,23016.982832000027,26450.838467948695,29526.66385026279,29040.775499021514,26604.386737910492,26100.526445926058,27493.16946235369,30228.4587290348,9.94897758305577,3274.32452819653
South West,13829.414263731473,17627.216509790007,19904.89260330726,21988.11097800003,20287.628914999994,17822.06106599999,14481.987777999995,20631.719088000027,21476.869695845387,22815.6654420729,20577.5366,19471.5147,16685.35175293986,18777.67758705001,28128.2490966363,21489.88178412144,20153.90114558429,20934.56537025777,22365.10181621407,24448.58429739997,26035.40112381964,27302.500411601588,27096.692733636406,23904.67346713716,21677.314978568116,24266.868734290434,25224.7353777957,3.9472197834561498,2564.41894287886
Wales,3401,3722,3269,3612.21,3519,3595.3,2930,3901,4018,4308,4136,4392,4334,4230,4442,5395,5212.000000000001,5025,5268.756677933533,4828,4880,4808,4989,4961,4373,4190,[x],[x],[x]
Scotland,22547,22182.31,21580,21907,22339.571000000004,21830.677000000003,19954.962000000003,22682,20868,21720,22299,22999.556000000004,21714.586,23672.4,31727.850000000002,25050.47,25614.9,31210,32624.6,32100.98,31919.660000000003,33983.7,33738.95,28676.94,26181.93,27590.356,[x],[x],[x]
Northern Ireland,2784,2942.6,2433,2350.9,2465,2459,1946,1865.3,2035.5,2418.3,2053.6,2330.6,2095,1879.3,1972.6999999999998,2085.7,2076.0999999999954,2257.1999999999975,2252.3,2013.1,1867.9,1855.34,1873.5,1973.33,1921.5,1788.3299999999997,[x],[x],[x]
tonnes/hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yields (2),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(a),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,5.87097981388691,5.876495021622421,5.528002958067764,6.000532895000402,6.164653371963947,5.803999622996764,5.842686585369106,5.98996354892184,5.467309650835719,5.803313082370383,5.765932298383889,5.50630576956225,5.647779151955162,5.142932922149373,5.458027185898238,5.975121300531189,6.090071434158232,5.790089248358745,5.4317296907106725,4.967548011643172,5.9255300600097565,4.90925877617779,5.627011928389346,5.737296048707324,4.983734480965243,5.413533730093259,[x],[x],[x]
England,6.16081,6.158367936354381,5.632754321236257,6.341977195381678,6.254422899953068,6.013958436061574,5.96251418762976,6.011537794662183,5.435787501548971,5.921255534090541,5.764077142954245,5.425130243764397,5.645734318460541,5.298817814386302,5.372361327298729,5.9780482584098875,6.125692708690047,5.603538681846554,5.387869728073517,4.836478355170421,5.927571975324537,4.588673729381101,5.639217024406613,5.710919376338986,4.7951742911974025,5.20442337279446,4.64490003527795,-10.750918928720486,0.251991276052981
North East,6.42247455035533,6.338973888925533,6.146012505954056,6.391273690033672,6.918192459794195,6.003553708093102,6.523667169576358,6.2703904892892055,6.188444953092168,6.545788587993927,5.5388529517819896,5.370878810666498,6.008803305040165,5.423722313000526,5.358280091275467,6.4832957776251385,6.015476182216011,5.917077551541393,6.053886641814825,5.6281222000182085,6.441147951058978,5.252802172093514,6.461973281614764,7.435202414381106,6.6649642381217475,5.529671629126457,5.31352572527954,-3.90883796260904,1.39166920870542
North West and Merseyside,6.707792389153981,6.753430334828503,5.045959808592603,6.102113872347457,5.914557347406456,4.7045174456514145,4.849366922896177,5.040512386478268,4.991508811805075,4.812229039114491,5.374952580526367,4.431107017601111,6.116194421434622,5.110162349486888,4.653161754809915,4.181193132991349,5.6296697380149485,5.5688907685086395,4.515406749472673,4.775082682750742,6.378850820363543,3.4040702565301872,5.21348876098716,4.94313027705496,3.8204035830514504,4.719937480583461,4.96577473553205,5.20848540812022,1.81593061699437
Yorkshire & The Humber,6.775782588893016,4.818806816700572,6.2639626168556495,6.675388335479112,6.476382364619132,5.876558648253198,6.608358441451227,6.088235642258458,5.424218999436975,5.898507358836028,5.483523118221745,5.1480621875208366,5.532907925308639,5.623410987685357,5.621223632692397,6.256616849528363,5.8205233981744176,5.135024952752514,6.13719768134831,4.757930028706694,6.535431996981627,4.843832135698884,6.336021688968454,6.757957209073664,5.252322673314847,5.431947078274055,5.029279477344,-7.412951472605229,0.771243979383655
East Midlands,6.350993231371707,6.435348584036863,5.340109836544303,6.68834022898428,6.1547302914051425,6.460231067573019,6.4806357661191,6.035988905961264,5.3517883214673425,5.913145452981406,5.817505963319608,5.952851973543629,5.191817972988339,5.143438805481958,5.5445558401613315,5.532379124332202,5.504204736589825,5.832779557220324,5.344091093550961,3.4498438602740973,5.806038732863055,4.391222104945042,5.994579558364311,5.558430345343535,4.9564707128205665,5.17387867577557,4.34383906252408,-16.0428890058399,0.461344274743886
West Midlands,6.134585633649421,6.384349110315099,5.493856968960958,6.451298829765321,6.472555271819912,5.805317114580029,5.462827447417458,6.28292149383053,5.285736335546188,5.622543733276128,5.6782352862287615,5.882983126884195,5.5429525662742645,5.514200915124005,5.608863457871094,5.868520981638878,7.072396682221081,6.259037878094239,5.936000150055038,5.44693765874471,6.398957273459523,4.515358433506918,5.2493925935815335,5.095089388021169,5.0710446080147085,5.042135625977198,4.46323320273073,-11.4812941616236,0.720377407040551
Eastern,6.553937072696374,6.629316516962179,4.943832967172589,6.282528670012118,6.688370526877036,6.389722236885701,6.543935951870008,6.06659349112372,5.703719112807671,6.807374046888369,5.864826153452792,5.042480707783703,5.5233913057378174,5.588430265887936,5.527482058087576,6.299499117154847,5.585859299602746,4.987908545848077,5.33390795256161,4.361841904198997,5.8503502593151335,4.794069627345642,5.188288666203287,5.369693737073495,4.761366084854936,5.549782207971136,5.14802582596547,-7.23913780668046,0.401794883705667
South East and London,6.016118010869392,6.197327427583231,5.88601490110542,6.516015011082021,6.721225732217519,6.2809641493664135,6.068458730613401,6.794308961859476,5.826445366807664,6.375154958132933,6.102473586557267,5.417743091425202,5.800148637068839,5.659659625860712,5.352709828534009,6.338850988511257,6.236620512417001,5.729178146784908,5.421137031304612,5.0796306921572425,5.764766562511648,5.13563839569771,5.436872684332468,5.810602040495569,5.018744669553419,5.323205705508347,4.73374884173353,-11.0733437027402,0.464071487273121
South West,5.7612218548082845,5.8634628772063415,5.68608614916989,5.838519129792058,5.288867095574944,5.840654148482518,5.653135201001534,5.133607202613235,4.99801922604739,5.463063518488886,5.698768806906037,5.239350644166066,5.697449041157219,4.547904084983835,5.097886524307898,5.905356849791983,6.122980874447308,5.258051805523035,4.551844396525597,5.06644973572244,5.2638234323311055,3.907280708942998,5.680376195588838,5.620514880868023,3.442674563600944,4.741303807961167,3.9823212919687,-16.0078861581924,1.13193267835651
Wales,5.16528,4.68,4.429607616164086,4.703657418505902,5.523098733860317,4.722805845969435,5.062351261749218,5.524691551943619,5.114453947103878,5.25,5.62,5.277832509871693,5.736479560648156,5.101564283481234,5.202247838444133,5.458238484967262,6.33362359631269,5.75315210877235,4.907768653868558,5.1343538693834185,5.862879737065035,4.044888665496253,5.3560675706015575,5.255567771227191,4.156443424864752,4.845024958402663,[x],[x],[x]
Scotland,5.34,5.223712048023853,5.3118628359592215,4.7882868489523895,5.932202639275104,5.219123393195731,5.669020189850311,5.991491050171943,5.92,5.5,5.8,5.856867140423153,5.6019983634962545,4.572789408762947,5.894538988376692,6.104616983734475,5.917228515210907,6.44,5.664838551967935,5.477374382265026,5.9249180404507795,6.600793211385867,5.598069095747812,5.96,6.041460909626086,6.585883304199513,[x],[x],[x]
Northern Ireland,4.414511,4.6,5.26,5.10315198434642,5.796348884381339,5.749898332655551,5.029804727646455,5.868224950410122,5.19,4.5,5.39,5.7770619936118885,6.017330750777193,4.774768498136699,5.023381748670737,5.609870650408002,5.925867467053534,5.37444986603662,5.635248218626551,5.047,5.9435082330862175,5.430018217685169,5.83402522128578,5.54,5.61,6.02,[x],[x],[x]
tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production (2),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,540830.038826,639914.52,620838.9562146744,753343.5627983302,748589.7081950963,625937.4145683006,528499.740697794,727763.3690010451,711696.0952644064,783574.2296366923,744417.1028293476,685310.1682319557,613369.0679865432,627045.4209281728,963563.1581650992,819984.8370032638,798572.7972696403,815801.572922516,874778.2019649263,850300.5581048145,1075587.7581996245,1030988.7226966725,1123064.0808710272,1007097.8109797733,829988.2997312974,985510.4615789661,[x],[x],[x]
England,390571.94292199996,493089.52,478930.568917434,619458.964434629,582343.0617041683,480881.5136902867,390753.96903517307,559366.547256913,556956.219304943,631061.2296366923,579967.1028293476,513960.5633855652,454255.7824118172,488243.68157049885,743524.0992487601,625913.6085487785,601690.0409430328,573824.7753383172,651415.0017107578,639522.6964258295,846753.6566751101,777146.9957351927,896539.6401912365,799094.6828148563,642855.4510007973,772737.169122405,754685.9521371636,-2.336009927637131,55179.9914616742
North East,25564.523367040107,28341.519588306277,28412.694674402857,35129.4262162756,36902.816132999025,27936.847444332834,25178.86954209211,34604.05970490977,38378.47790868276,39286.32376608031,38271.08443565015,36653.74773871248,35644.39747603215,36496.000482554264,60548.20814227783,56912.636616159,46919.58600752028,48986.40700202293,59603.42916031808,61116.70951809413,73343.17838368642,66245.08304991962,74018.90606257581,69270.04791488315,56750.36549371726,47715.0315004037,51066.3996989639,7.0237157834252395,13912.6393784842
North West and Merseyside,17185.641245906758,20000.454197807474,17381.758406447825,23504.69639191275,23807.618504299597,17198.080580423295,14636.275042277995,22588.19777001373,25611.41787693936,24390.83842036206,25297.457805599242,17379.98881660157,21721.41925141338,22962.647042872428,31630.109026571816,20268.885591023543,25947.163510916143,26224.6513272392,24303.74156313693,29120.703634572514,38243.41402101534,23031.878779135062,30799.89764481445,25050.62367061731,17908.753493032702,23482.535255986,26555.8203523957,13.0875353231987,10780.2045253262
Yorkshire & The Humber,27832.063760843368,23947.624023863114,32477.059763206493,37371.012327947006,35450.936174121554,28953.48041474651,26846.5368564522,37446.31393418728,36663.557063871966,44586.122031643055,42638.62716907827,42667.50955584398,37538.10007551627,42226.73347853593,66395.1233066808,53402.38926804481,46537.105080707755,42250.89317712207,58241.58435340496,49810.73668363455,75215.06790140666,74105.97239231375,90498.53368009736,69950.59331649049,51656.62723376252,61356.5177582444,61873.6067246376,0.8427612669131409,12545.621687964
East Midlands,43091.5051951071,59569.877262376816,55303.96227199049,78352.43919005884,69001.55263441992,63008.836217822114,50391.509713413674,64447.94483303987,66508.0901492904,78743.33821679492,75248.86137544637,67263.02994511646,46379.30322737826,50037.31544811051,80730.05468343748,65552.70000108404,59311.42174290439,68144.28473394465,73260.62321403468,51986.19374577558,100693.0225952717,116510.78363139112,138773.65389980713,118129.65185282772,101723.7061891733,132382.471935781,129075.693636534,-2.4978973808946403,23886.7432792436
West Midlands,77610.21243613165,94599.63617858545,90090.77775175976,117235.30356439837,111182.75025711373,84489.16592620057,66900.3686691091,106772.05320707873,101059.90513176419,112719.32475158533,102797.09654247607,99617.38867113409,79977.21801613168,89871.88627977349,137908.2460799882,107612.29688694431,119478.45794141966,106487.11671596701,114859.4599527648,112132.80623426409,134761.2375598365,115242.09985105252,115100.31247040906,100983.49607137484,94483.52944140046,101091.737438169,98268.7090933174,-2.79254112788227,18876.712840358
Eastern,29455.288663246713,38264.504011205485,30106.45285749215,41907.155873742384,49902.01737645151,44144.42437791415,41462.955771923356,55788.21195283312,57661.01842749419,65778.94307518126,55372.592499174854,44693.67629253552,42157.6927146243,51057.78488287442,73269.84144335568,61984.97065745361,59942.21290408281,61503.92937378767,100077.18801427097,94570.25072285515,134969.07255776474,123694.37630095231,135537.92900773758,126766.19317889151,114712.6502927994,145300.481552127,144298.790356085,-0.689392894876922,21293.777052465
South East and London,90158.37990805368,125009.624730028,111976.9290597549,157580.92429725005,148796.79760898472,111092.01960701402,83468.81855161884,131804.62414240063,123731.94509175028,140912.9098484093,123074.75930287527,103667.1292792871,95773.71030456312,110192.23735112367,149647.89454433028,133274.3089329876,120152.1424955675,110152.46376530982,119266.5120729689,116917.77243428367,152482.90915042747,151638.26856626917,157890.99904246168,154587.50386543595,130991.87797302945,146351.796544509,143093.931495958,-2.22605060236475,20919.7323307515
South West,79674.32369540718,103356.52963363244,113180.93413237961,128378.00657304392,107298.57301577827,104092.4948996416,81868.63488828577,105915.1417124499,107341.80765514981,124643.42952663604,117266.62369904731,102018.09308633403,95063.94134615813,85399.07660465414,143394.622022118,126905.42059508151,123401.9512599143,110075.02924292386,101802.46337985848,123867.52345234988,137045.75450570142,106678.53316415915,153919.4083833333,134356.5729443354,74627.9408838822,115056.597137185,100453.000779272,-12.6925328240855,30360.2049417482
Wales,17567.11728,17426,14480.387297240397,16990.598363701203,19435.784444454453,16979.90385801391,14832.68919692521,21551.821744132056,20549.87595946338,22596,23236,23180.24038335648,24861.902415849105,21579.61691912562,23108.384898368837,29447.196626398378,33010.84618398175,28909.58934658106,25857.838868822833,24788.660481383144,28610.85311687737,19447.824703705985,26721.42110973117,26072.87171305809,18176.12709693356,20300.654575707154,[x],[x],[x]
Scotland,120400.98,115874,114630,104897,132522.8620464736,113936.99702000001,113125.08246569577,135899,123630,119035,130144,134705.3437807222,121645.07523599868,108248.9,187021.04884236745,152923.52461253098,151569.21669427588,200936,184813.091822533,175829.08549760195,189121.36937905516,224319.3762577739,188872.97331798062,171000.21019977998,158177.10663356652,181706.89128085406,[x],[x],[x]
Northern Ireland,12289.998624,13525,12798,11997,14288,14139,9788,10946,10560,10882,11070,13464.020682311866,12606.307922878219,8973.222438548299,9909.625175602761,11700.507215555968,12302.693448349813,12131.2082376179,12692.269562812582,10160.115699999998,11101.879028581747,10074.526,10930.04625207891,10930.04625207891,10779.615,10765.746599999997,[x],[x],[x]
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisture content (2) (3),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
England,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.168363126121905,14.583836110805565,14.530036502316792,13.484368810888812,-7.196593699274256,0.4938424084096692
North East,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.76450864840958,15.963527604158896,16.130287303058385,14.313177850162868,-11.26520203115653,0.6857052750024509
North West and Merseyside,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.835133841305302,15.330124892969971,15.060758337140252,14.020038784744667,-6.910140439802031,0.363006654246752
Yorkshire & The Humber,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.708484583056094,15.072238658777124,14.814030420247493,13.84903778136506,-6.51404520921937,0.2607874956623925
East Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],12.903000786568022,14.293817125624708,14.551734063933024,13.313627065136767,-8.50831243449499,0.4394496349024959
West Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.115702446813302,15.113039929151752,14.978510813992305,12.981172340396125,-13.33469327091148,0.2977546216601251
Eastern,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],12.792734572717066,14.301488160597328,13.757337906021727,13.482813111947022,-1.9954790378052856,0.2673473287888579
South East and London,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],12.904535227381059,14.234246659436451,14.279451344350255,13.565089563775935,-5.0027256884555396,0.28275470296561267
South West,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.493038710118409,14.583490603733923,14.759978189188212,13.602965041175523,-7.838854049663905,0.12295888746536468
Wales,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Scotland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Northern Ireland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Data notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Regional areas for 2010 onwards have been replaced with the final regional breakdowns from the June Survey of Agriculture. Regional yields have been recalculated as a result, although any changes are very minor. National areas, national yields and all production figures remain unchanged. See metadata tab for further details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) In all years prior to 2022, production standardised to 14.5% moisture content for cereals. From 2022 production only adjusted for farms that reported moisture content for cereals above 14.5%. See metadata tab for further details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3) Moisture content data for Scotland, Wales and Northern Ireland are not available and as a result UK figures cannot be calculated. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] indicates where data is unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
