Total Barley,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,1179031.1,1127968.1,1244862,1100970.3197350008,1076027.759996,1007448.9597250002,937671.9290859998,881384.8464280003,897897.1013241861,1032033.3307409763,1142986.0723,921161.9612601,969755.6641826,1002183.9080801997,1212996.672624,1079825.520051,1100919.6999720002,1122408.600031,1176740.7766197978,1138141.46,1162225.71,1387521.62,1149745.98,1115836.4200000002,1136522.5799999996,1193919.094500003,[x],[x],[x]
England,774012,752167.7,847840,721963.9997350009,703149.999996,642362.1297250001,595527.3290859999,565029.7464280003,576921.0013241861,664856.0307409762,759806.4723,586025.9982600999,614502.0001826001,622787.0080801998,827707.0226240002,708703.0000509999,748463.999972,791254.000031,842460.0001960003,806735,831851,1044989,816149,782081,799288.9999999995,849088.000000003,741528.2231330802,-12.66768307488996,14975.721268907291
North East,43853.76378212351,43128.9,50375,43027.79702700001,42224.13506199999,38891.755453000005,37575.317725000015,36291.270463,35891.62763219998,40233.27402563663,46282.329,39061.6069,38524.90315676331,39954.536852000034,49679.926128906794,44168.68434625988,44827.48975611194,41019.64072872826,41545.66219294087,39058.62718200003,40285.312925797836,46986.24453007032,41478.45501029149,38824.54226770522,38096.81586131802,38292.474858540605,33732.6719166282,-11.907830347234414,1864.8425062112672
North West and Merseyside,43905.392915395976,39481.8,46342,37706.18458699995,39015.322534999956,39888.909831000004,37626.002313000005,34553.93803800001,35378.14545868003,42359.66762877463,49003.5375,36409.6877,39554.10439260902,39383.082912099984,53276.8065635737,43180.07379340055,44610.09053705772,40454.22510897196,39122.49399820193,40425.824486,36737.45329030958,43820.19200910491,38776.600726265344,36582.235398391735,37262.25080047792,39486.074313811594,36091.6709365746,-8.596456943935026,2947.404486793103
Yorkshire & The Humber,121797.02996592602,121868.1,144776,119508.94596900025,119272.53213299986,109166.24122900006,102715.81757300007,99513.97080600022,103147.29428241,115687.8368513181,130472.0405,104319.6961,103848.55498209177,106747.86029499979,133205.49375406292,120525.30376898046,125117.31079625204,121089.70104818288,125499.07880334143,123042.7436400001,122809.68925882346,158932.57838003698,128038.64619153462,117127.9488678779,121210.83733712687,127162.750717541,112769.59868857841,-11.318685658926361,5508.686480283323
East Midlands,97864.20017236896,99579.29999999999,104527,93903.87450900019,90636.11715900004,77522.4841669998,71949.82292999998,68293.25538000005,69109.64216981006,78250.17970365223,86988.8189,67814.6747,70352.47738659692,70572.79190540005,95422.7760557342,86927.53660521818,93582.89716590333,109418.45350470339,124191.17197783518,117914.96686387988,126113.7657607919,187256.7916808907,129780.05812848719,124333.92782480252,130066.13873737806,145701.20701886155,123698.9142061295,-15.100968113382768,7314.877986101123
West Midlands,74326.61039188506,71925.6,74095,65489.39014099995,61591.232002999954,52995.91118599991,50095.921588000005,46192.38618200002,47636.888063200015,52687.34668068371,61793.2583,46983.7773,47408.49664337144,48770.13518599997,67174.9015988486,59662.25755305909,62351.43557368385,63584.62817021245,62343.81696084803,59271.888692,59279.13522468732,80035.41209676642,57970.74644483437,56582.10705233271,57333.982716999104,57276.746997345675,52536.8484397592,-8.275432537755963,3602.0732759465473
Eastern,173611.3739152925,168916.8,193202,166210.78086800076,164388.4146149999,149118.31402700001,135252.93016199995,130151.37772499988,130674.22332724999,149125.67700355948,166635.6532,126370.6912,136448.6635011991,135280.05383830008,166324.2990694672,149026.49861937988,160250.12093091337,179021.05462151734,198036.7804797102,184972.1054260002,199317.78885504027,233115.74091276358,192062.26817630295,186165.56576057698,193565.96016147302,206008.08205883484,178169.56513403082,-13.513312995581265,7772.031021768056
South East and London,93869.05289548711,88659,100624,82638.87470399984,75156.57463800008,69113.62286200002,63587.877135999996,59155.28345399993,61340.89179997003,74624.6821905665,86787.3299,64928.29849999999,69653.57573859495,70921.58028340005,103606.61440122477,80817.43516155616,88282.71754054994,102508.08644801879,115518.64159409962,110699.93073199989,117317.6236575165,139629.3561504754,103722.05750815,98303.50044487126,98533.88967253706,105520.19620239639,89277.6628909533,-15.39281947532449,5163.641475774267
South West,124784.57596152085,118608.20000000001,133900,113478.15192999999,110865.67185100017,105664.89097000024,96723.63965899992,90878.26438000015,93742.28859066605,111887.3666567849,131843.505,100137.56899999999,108711.22419877397,111156.95183499997,159016.1704064824,124395.21333014584,129441.93769952825,134158.21036966378,136202.35399302313,131348.9129781191,129990.23102702611,155212.68641269213,124320.16781429402,124161.1696938716,123219.12471269188,129640.4678326684,115251.2909204262,-11.0992941886131,5275.751191942295
Wales,29629.100000000002,26168,27424,25403.620000000003,24554,24265.800000000003,21766,19129,19515,21549,24275,20437,22780,21825,20394,20683,22062,21889,21788.676423797675,22686,19795,20636,20587,21422,19960,24013,[x],[x],[x]
Scotland,339678,316991.4,336800,325148,320568.76,313810.03,294638.6,274401,278644,319934,332160,290374.063,308425.06399999995,332038.7,339138.35,326884.32,307685.9,286930,291346.7,288017.46,290892.50999999995,301792.62,292167.24,290376.12,295820.76,300380.31449999986,[x],[x],[x]
Northern Ireland,35712,32641,32798,28454.7,27755,27011,25740,22825.100000000002,22817.1,25694.3,26744.6,24324.9,24048.6,25533.2,25757.300000000003,23555.199999999997,22707.79999999998,22335.600000000013,21145.4,20703,19687.199999999997,20104,20842.74,21957.3,21452.82,20437.78,[x],[x],[x]
tonnes/hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yields (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,5.5814757901567535,5.7554569835723,5.349934267712727,5.565623313437762,5.910609194438937,5.75641739880955,5.8602842773251425,5.944285294924899,5.656463184577568,5.953173633044577,5.8336623472871505,5.700991555797304,5.6650857623145985,5.510404703835028,5.846933021226237,6.399857340899551,6.694246177150145,5.929279891948794,6.09192541168382,5.719862558336332,6.924772889098257,5.850189612843025,6.054617934086143,6.6184357364958055,6.126928681010239,5.939122422009283,[x],[x],[x]
England,5.701642688616338,5.884234572458655,5.244891342300442,5.818202140039423,5.863959577118512,5.757188900307068,5.927213744003507,5.930483243918553,5.5497531765958845,6.059463141968398,5.9082858294969265,5.695543654659689,5.578556503323983,5.724754409001748,5.851889463619819,6.467051181337651,6.908656564642747,6.043387882901477,6.11794997251509,5.727447284028847,7.032739805676756,5.55837946405272,6.0279000699093706,6.583482447094241,6.027460744183294,5.70867323106093,5.603799582074757,-1.8370932218638634,0.2735243946896284
North East,5.562175707650512,6.052559450243773,4.863421231139705,6.21990070423763,6.007066107931516,6.052403312736857,6.244146073990439,6.235785680037492,6.08945765598328,6.222879562332588,5.660278173287988,5.771531962459022,5.979799468751874,5.3928918643249615,5.205999010681318,6.505730389190931,7.1132427955259,6.902953594271571,6.529089397464122,6.613636986120447,8.21785208004898,5.710571904264797,6.5069331962598405,7.396299955354847,6.380562560868815,5.194799760835301,5.919684803072715,13.954051659555317,1.063080850173582
North West and Merseyside,4.816149117832427,5.560781315603192,4.6247414232796675,4.823333394760006,5.084306531635319,5.24607859927887,4.814195962405964,4.761458605765524,4.894221881882249,4.598994828682979,4.747926879720715,5.030670799086823,5.261760274004035,4.5073111575276,5.580150350595133,4.702914990654806,5.461619943817908,5.608437895215696,4.802883858715405,4.132075272375283,6.017289816894439,4.408957316082357,5.454168113156808,5.458687844891757,4.425981064065996,4.492624670157172,4.69537372884326,4.512931160995397,1.2847328273324514
Yorkshire & The Humber,6.1345734384215875,6.1770431699094654,5.810923800391,6.319949298936557,6.238222210853325,6.1437740188546766,6.303432248359701,6.246440669159295,5.874699036896749,6.442511770732157,6.440006993484036,6.002010277172061,6.29180336212023,6.2765519394509885,6.084499775018174,6.849841195312523,7.750958977469206,6.7853170058695484,6.776569891207732,6.254822444517097,7.618605075582184,5.773543448764647,6.307906973434959,7.211943946374975,6.399014693583896,5.705499318782216,5.992181597719043,5.024665904228273,0.7111303741845194
East Midlands,6.068711257570894,6.004776345747061,5.40551422437726,5.961479353629971,5.903395062014254,6.034673328688185,6.268630674501816,5.970533605218016,5.766997807180925,6.589597690335041,5.852980654499082,5.739872438518424,5.535091966090443,5.852338698084717,6.0237437287844156,6.536558634806265,7.385387268983784,5.7350929800592,5.96648466821988,5.462756371204788,6.867486987582943,5.448416920317791,5.946851477194841,6.882914180787458,5.938203391107967,5.549921478699568,5.73475744685142,3.3304249233299674,0.860929691985751
West Midlands,5.205898333048038,5.478691419860907,4.635504278215957,5.9392552988943015,5.690625719907846,5.545344998292276,5.650413691567695,5.98864491227637,5.375497982952516,5.64969602406255,5.6437584662662434,5.823297256660699,5.728810228321998,5.528174862616586,5.782957457499616,6.137860672493242,7.047554067548477,5.9387066866447045,5.847107082547309,5.45155536959022,6.967825051078074,4.940343532306292,6.09502456458689,6.0184368165738915,5.616210396548456,5.173883349728245,5.237346416838705,1.2266041350506454,0.9034715692847284
Eastern,5.82675570861207,6.224425763837861,5.372971463858623,5.957099943537928,6.1005116916123345,5.689480596314672,5.988768854550113,6.101181808051014,5.5983431519008455,6.3911523292956165,5.882093744864392,5.5971399150771335,4.431317693264103,6.349164651196037,6.05528167257658,7.005854889725436,6.7832055271844025,5.867491030504487,6.275161662841936,5.981794089296441,6.9715583157556145,5.714677428482415,6.117834570217002,6.4346264189293265,6.433573153980945,6.226084440663227,5.627943123260649,-9.607022248141153,0.6772755579275991
South East and London,5.818658320721266,5.776319187933482,5.16045265723021,5.7166180609352395,5.7808690063494295,5.941989933085888,6.070998550658985,5.908804103110936,5.282218019809322,6.168254235404076,6.176448497042681,5.845421561869693,6.110983762832836,5.796073929485605,5.845025241487774,6.66287698668631,7.0299966504734455,5.754677132266872,5.870300389610832,5.660741631440183,6.934030029441761,5.698149930050379,5.945146238667501,6.40118761920016,6.087283168479702,5.8071473072975,5.699536674811667,-1.8530722020880175,0.8403835273002321
South West,5.384963738438711,5.370745238267046,5.081461271149149,5.150159226237889,5.450815963757321,5.319427972892157,5.546326213070121,5.617057366649606,5.268684588541463,5.465121247880467,5.91749123386989,5.52542375751649,5.931706465251622,4.945296638069375,5.6675950958151144,6.031400865486981,6.183325540402156,5.998442482934503,6.006952582676755,5.521066369164421,6.771767866536553,5.707367277854143,5.74205524756822,6.393035463449788,5.636857597694292,5.746296715267589,5.330808201659943,-7.230544021573343,0.7430249818129063
Wales,5.186767056393135,4.647534919178759,4.725043418808087,4.926486486199339,5.292721782813219,5.222781661564539,5.080726879240738,4.99725747737982,5.139930178600664,5.209104830850619,5.50442842430484,5.353370991418829,5.697105522597401,4.878740226197233,5.627685082664404,5.597799837679573,5.9820114298036495,5.62241544412371,5.284036849477209,5.141145191752373,6.490170751041472,5.4344849574111205,5.875574057241034,6.161335403079099,5.382933424841848,5.287080158976945,[x],[x],[x]
Scotland,5.434538121397323,5.572561274532999,5.687835510688836,5.1984081095378105,6.145175752159198,5.850911207968719,5.895348376519671,6.114988648000554,6,5.8503847668581646,5.736193400770713,5.734546697975978,5.829801810471971,5.1905425482029655,5.8797815877796795,6.349860766982655,6.26263770281567,5.66426306067682,6.126458451083218,5.748355663262505,6.677973121580044,6.912935856585216,6.104206928057972,6.774278453689252,6.513982254010368,6.6287149624027535,[x],[x],[x]
Northern Ireland,4.702100134408603,5.4523452100119485,5.117952497103482,3.923815749243534,4.929850477391461,5.119654955388546,4.5696192696192695,5.027447853459568,5.228008817947943,5.106774654300759,5.222998287504768,5.72374150370391,5.733299084089801,4.981621785754166,5.428746783609353,5.7762827205534855,6.167321887299486,5.592142363451662,5.411734158522818,5.662064499524708,6.446429886583044,5.491318968032895,6.58254540041221,6.248413161863599,5.18790485784756,6.144091324987352,[x],[x],[x]
tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production (2),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,6580733.540491886,6491971.878391779,6659929.8723734,6127586.078920148,6359979.571703891,5799296.720173572,5495024.063311821,5239202.981791602,5078921.897179172,6143873.612990353,6667794.813450139,5251536.562665514,5493749.006084784,5522438.921192904,7092310.299802817,6910729.281389068,7369827.492886847,6655074.742714206,7168617.0400547,6510012.723144248,8048149.087620973,8117264.568919127,6961272.630151448,7385091.638211544,6963392.792017751,7090831.664209987,[x],[x],[x]
England,4413139.860701309,4425931.18462671,4446828.675656007,4200532.488289604,4123243.1766274255,3698200.1232303795,3529817.769888238,3350899.4435068043,3201769.1597437803,4028670.6129903537,4489153.813450139,3337736.655855922,3428034.1294242395,3565302.6703761313,4843650.004657518,4583218.5736973565,5170880.7268053265,4781854.83608467,5154128.135044183,4620532.184681012,5850191.640092015,5808445.409838236,4919664.614156463,5148816.535705911,4817683.0707575185,4847165.93641508,4155375.5468897917,-14.272059149617819,124556.2814511053
North East,243922.33959797124,261040.2312736187,244994.84451866266,267628.62503003114,253643.17066766293,235388.58954188894,234625.77265150222,226304.584663543,218560.5466706012,250366.8186598608,261970.85664763366,225445.3127283599,230371.1954305306,215470.49673202285,258633.64627780975,287349.5520020446,318868.81854917435,283156.67640410323,271255.3425345563,258319.58135796487,331058.7426226918,268318.3279003351,269897.53583603597,287157.96024130046,243079.116973039,198921.7392369385,199686.7853119017,0.38459651413561524,20858.005638827763
North West and Merseyside,211454.9193575704,219549.65574638214,214319.76703762636,181869.4993074619,198365.8591985589,209260.35621297365,181138.94841672207,164527.14563412382,173148.49364428493,194811.89236946433,232665.212897652,183165.1527162607,208124.21516683867,177511.80902754283,297292.59082431486,203072.2163405642,243643.36017271696,226885.00912274464,187900.79493665433,167042.5497239838,221059.90358241496,193201.35615067673,211494.09921780956,199691.0037081699,164922.01644739328,177396.1115898894,169463.8835456482,-4.4714779671040406,25379.152063432954
Yorkshire & The Humber,747172.8249076079,752784.5147348437,841282.3041254075,755290.47929343,744048.5590967967,670692.7165987528,647462.1969062807,621608.1143921305,605959.3103793797,745320.2506451582,840240.8532741324,626127.8881036661,653394.6873876525,670008.489566824,810488.7967777806,825579.190834318,969779.1433530146,821632.0077578949,850453.27879303,769610.5145544359,935638.5219179433,917604.1467013363,807655.8691807527,844720.2017890096,775629.9291418823,725526.987593403,675735.914043861,-6.8627458938089445,51375.21352944877
East Midlands,593909.5732992269,597951.4251660502,565022.1853314819,559806.0091112644,535060.8064765863,467822.8675762458,451026.867043972,407747.1762560263,398555.154848353,515637.2034434887,509143.87417942414,389247.5822376227,389407.43237711216,413015.88109985256,574802.3488489286,568206.9399992765,691145.9373236811,627525.0045837583,740984.723534012,644140.7364960613,866084.6453173216,1020253.0722385885,771782.7303918264,855779.7549783377,772359.1861186177,808630.258306432,709383.269411036,-12.273469595765011,66690.18639950395
West Midlands,386936.7771402254,394058.1675883477,343467.68949441134,388958.2074162902,350492.64895708277,293880.61102522624,283062.6812325369,276629.7984947397,256071.99569786646,297667.4930602639,348746.2246888018,273600.50145864725,271594.28047991544,269609.8353816577,388469.5981578644,366198.6242670843,439425.1133948024,377610.4564822579,364530.9737048076,323123.9830646264,413046.64342482097,395402.4305077287,353333.12360870355,340535.8362430844,321999.70981073985,296343.207616164,275153.674927971,-7.150335200406747,30230.990263633263
Eastern,1011591.0640409151,1051410.081865047,1038068.8327604138,990134.2333241623,1002853.4453244228,848405.7542117746,809998.5356408268,794077.2180685452,731559.1432940717,953084.9179390849,980166.5333591121,707314.4398114067,604647.3767951034,858915.3358420316,1007140.4798594906,1044058.0240512434,1087009.5060305404,1050404.432263207,1242712.8126989217,1106465.0469219661,1389555.5883703777,1332181.2628181246,1175005.183883275,1197905.8677379335,1245320.764819398,1282623.714357385,1002728.178870409,-21.822108257775984,71711.89235190747
South East and London,546191.9456885507,512122.6828829946,519265.3881811326,472414.8836682498,434470.31294820225,410672.4512850988,386041.9099321376,349536.9815936852,324015.96401697554,460304.01198764495,536037.4733232023,379533.2760274116,425651.87036180095,411066.72251853533,605583.2763602495,538476.6288609456,620627.2086047594,589900.9409548494,678129.126757157,626643.7064921763,813483.9254239665,795629.0059818107,616642.8000614322,629259.1499717473,599803.6881284708,612771.32324225,508841.313888461,-16.96065161859767,42767.68311302295
South West,671960.4166692407,637014.4253694256,680407.6642068711,584430.5511387144,604308.3739581123,562076.7767784192,536460.85806426,510468.42440401035,493898.5511922485,611478.0248853876,780182.785080181,553302.5027725467,644843.0714252861,549704.1002076648,901239.2675510801,750277.3973418793,800381.6393766378,804740.3085158553,818161.0820850439,725186.0660697975,880263.6694324783,885855.8075396353,713853.2719766287,793766.7610363283,694568.6593179777,744952.594472616,614382.526890504,-17.52729885779485,50528.275443455546
Wales,153679.23979057785,121616.69376506977,129579.59071739297,125150.59063054326,129957.49065519578,126734.97524319279,110587.1012535539,95592.53828479859,100305.73743539196,112251,133620,109406.8429516266,129780.0638047688,106478.50543675461,114771.00957585785,115779.2940427266,131975.1361643281,123069.0516564239,115132.16912468222,116632.01982009434,128472.93001686592,112146.03158113587,120960.44311642117,131988.12700476046,107443.3511598433,126958.65585751338,[x],[x],[x]
Scotland,1845993.04,1766454,1915663,1690252,1969951.3708517416,1836074.6217,1736997.1921700286,1677959,1657559,1871737,1905334,1665163.6241545188,1798056.9965021333,1723461,1994059.4260399805,2075669.9189098035,1926925.3179647722,1625247,1784923.4524102071,1655626.797309482,1942572.363048954,2086275.6509664222,1783449.2905595764,1967088.6931818847,1926971.18100786,1991135.485137394,[x],[x],[x]
Northern Ireland,167921.40000000002,177970,167858.606,111651,136828,138287,117622,114752,119288,131215,139687,139229.43970344725,137877.81635364197,127196.74538001827,139829.8595294612,136061.49473918145,140046.31195241914,124903.85497311101,114433.2834756284,117221.72133366003,126912.15446313767,110397.47653333333,137198.2823189876,137198.2823189876,111295.18909252928,125571.58679999999,[x],[x],[x]
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisture content (2) (3),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
England,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.469350360556186,14.999859376305205,14.814229658131683,14.118177880085913,-4.698535084905347,0.0604027868892056
North East,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.79178567989986,15.833957456934273,16.054528857318214,15.218282109272703,-5.20879033871069,0.3098212514284827
North West and Merseyside,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.951250682609594,15.8597243771476,16.907180756690863,14.741104835688791,-12.811573686789071,0.4481316051146883
Yorkshire & The Humber,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.629211748919264,15.246424721579741,15.20698263995944,14.323097640567633,-5.8123627830626905,0.13084444642968496
East Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.509923947220685,15.08646822027324,14.970770838607947,14.196513147637678,-5.171795756659007,0.12998808670204554
West Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.536441586863747,14.9990751372511,15.259553274977359,13.941985254272211,-8.634381341069124,0.22058619907948296
Eastern,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.11965332003565,14.577077513629161,14.328988372111198,13.817676509436946,-3.568373770680336,0.12442725045693828
South East and London,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.083487128737026,14.781432703066896,14.605897865052146,14.046399290094604,-3.83063458424057,0.15412017629844768
South West,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.373847227777905,15.02723161979714,14.905598711714909,14.068050735303254,-5.619015999359971,0.1442677688925631
Wales,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Scotland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Northern Ireland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Data notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Regional areas for 2010 onwards have been replaced with the final regional breakdowns from the June Survey of Agriculture. Regional yields have been recalculated as a result, although any changes are very minor. National areas, national yields and all production figures remain unchanged. See metadata tab for further details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) In all years prior to 2022, production standardised to 14.5% moisture content for cereals. From 2022 production only adjusted for farms that reported moisture content for cereals above 14.5%. See metadata tab for further details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3) Moisture content data for Scotland, Wales and Northern Ireland are not available and as a result UK figures cannot be calculated. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] indicates where data is unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
